,language1,language2,distance
146,Abkhaz,Sariqoli,82.8
147,Abkhaz,Schwyzerduetsch,93.7
148,Abkhaz,Scots_(Scottish_English),96.4
149,Abkhaz,Scottish_Gaelic,89.1
150,Abkhaz,Serbian,91.2
151,Abkhaz,Shan,100.0
152,Abkhaz,Sheko,93.1
153,Abkhaz,Sindhi,90.6
154,Abkhaz,Sinhalese,96.9
155,Abkhaz,Slovak,88.8
156,Abkhaz,Slovene,85.7
157,Abkhaz,Somali,96.9
158,Abkhaz,Spanish,100.0
159,Abkhaz,Sranan,96.4
160,Abkhaz,Swahili,86.9
161,Abkhaz,Swedish,93.7
162,Abkhaz,Tagalog,94.3
163,Abkhaz,Tahitian,93.4
164,Abkhaz,Tajik,96.3
165,Abkhaz,Tamasheq,97.6
166,Abkhaz,Tamil,100.0
167,Abkhaz,Tashelhit,87.6
168,Abkhaz,Tatar,86.0
169,Abkhaz,Tausug,96.9
170,Abkhaz,Telugu,96.7
171,Abkhaz,Thai,96.9
172,Abkhaz,Tibetan,97.8
173,Abkhaz,Tigrigna,90.9
174,Abkhaz,Tmazight_(Riffian_Berber),88.4
175,Abkhaz,Tsakonian,91.6
176,Abkhaz,Turkish,87.9
177,Abkhaz,Turkmen,87.9
178,Abkhaz,Tuvan,94.0
179,Abkhaz,Ukrainian,88.8
180,Abkhaz,Urdu,100.0
181,Abkhaz,Uyghur,85.1
182,Abkhaz,Uzbek,88.4
183,Abkhaz,Veps,94.2
184,Abkhaz,Vietnamese,92.4
185,Abkhaz,Vlach,90.1
186,Abkhaz,Wakhi,89.0
187,Abkhaz,Walloon,100.0
188,Abkhaz,Warji,100.0
189,Abkhaz,Waziri,83.9
190,Abkhaz,Welsh,97.5
191,Abkhaz,Wolof,93.2
192,Abkhaz,Yakut,95.0
193,Abkhaz,Yiddish,98.1
194,Abkhaz,Yoruba,90.0
195,Abkhaz,Yupik,94.3
196,Abkhaz,Zazaki,92.2
197,Abkhaz,Zulu,88.6
198,Adyghe,Adyghe,0.0
199,Adyghe,Afar,93.3
200,Adyghe,Afrikaans,95.1
201,Adyghe,Ainu,92.7
202,Adyghe,Albanian_(Gheg),88.6
203,Adyghe,Albanian_(Tosk),91.4
204,Adyghe,Aleut,95.8
205,Adyghe,Altai,83.2
206,Adyghe,Amharic,90.6
207,Adyghe,Arabic,88.2
208,Adyghe,Aramaic_(Syriac),95.4
209,Adyghe,Arbanaski,88.6
210,Adyghe,Armenian,95.5
211,Adyghe,Armenian_(Eastern),92.7
212,Adyghe,Assamese,90.8
213,Adyghe,Avar,89.5
214,Adyghe,Azeri,86.6
215,Adyghe,Balochi,84.8
216,Adyghe,Basaa,91.6
217,Adyghe,Bashkir,81.2
218,Adyghe,Basque,93.2
219,Adyghe,Belarusian,89.0
220,Adyghe,Bemba,94.1
221,Adyghe,Bengali,90.8
222,Adyghe,Bihari,90.8
223,Adyghe,Bole,93.7
224,Adyghe,Brahui,90.7
225,Adyghe,Brazilian,95.7
226,Adyghe,Breton,91.7
227,Adyghe,Bulgarian,88.2
228,Adyghe,Burmese,92.4
229,Adyghe,Burushaski,92.9
230,Adyghe,Buryat,94.4
231,Adyghe,Buyang,93.3
232,Adyghe,Catalan,95.7
233,Adyghe,Cebuano,87.1
234,Adyghe,Chechen,84.4
235,Adyghe,Chinese_(Cantonese),86.6
236,Adyghe,Chinese_(Mandarin),85.6
237,Adyghe,Chuvash,87.2
238,Adyghe,Comorian,91.3
239,Adyghe,Cornish,93.8
240,Adyghe,Croatian,94.5
241,Adyghe,Czech,90.2
242,Adyghe,Danish,92.3
243,Adyghe,Dargwa,94.9
244,Adyghe,Dhivehi_(Maldivian),91.7
245,Adyghe,Ossetic_(Digor),84.1
246,Adyghe,Dizi,87.8
247,Adyghe,Douala,93.8
248,Adyghe,Dutch,95.1
249,Adyghe,English,88.6
250,Adyghe,Estonian,88.5
251,Adyghe,Even,94.8
252,Adyghe,Faroese,92.5
253,Adyghe,Finnish,92.3
254,Adyghe,Flemish,95.1
255,Adyghe,French,93.5
256,Adyghe,Frisian,95.1
257,Adyghe,Friulian,93.5
258,Adyghe,Fula,95.6
259,Adyghe,Galician,95.7
260,Adyghe,Gelao,89.7
261,Adyghe,Georgian,97.4
262,Adyghe,German,93.4
263,Adyghe,Greek_(modern),95.7
264,Adyghe,Greenlandic_(Eastern),93.6
265,Adyghe,Greenlandic_(Western),94.2
266,Adyghe,Gujarati,95.1
267,Adyghe,Gypsy_Romani,90.8
268,Adyghe,Hausa,96.2
269,Adyghe,Hebrew,88.3
270,Adyghe,Hindi,88.0
271,Adyghe,Hungarian,91.2
272,Adyghe,Icelandic,90.4
273,Adyghe,Igbo,92.3
274,Adyghe,Indonesian,92.5
275,Adyghe,Irish,93.5
276,Adyghe,Ossetic_(Iron),88.3
277,Adyghe,Ishkashimi,84.0
278,Adyghe,Istro-Romanian,90.5
279,Adyghe,Italian,93.5
280,Adyghe,Japanese,95.1
281,Adyghe,Javanese,95.4
282,Adyghe,Kabardino_Cherkess,9.6
283,Adyghe,Kabylian,90.2
284,Adyghe,Kalasha,93.2
285,Adyghe,Kalmyk,92.0
286,Adyghe,Kannada,90.7
287,Adyghe,Karelian,92.3
288,Adyghe,Kashmiri,92.6
289,Adyghe,Kazakh,74.3
290,Adyghe,Ket,89.6
291,Adyghe,Khanti,90.5
292,Adyghe,Khmer,87.7
293,Adyghe,Khowar,95.1
294,Adyghe,Kivalliq,94.7
295,Adyghe,Komi,89.6
296,Adyghe,Korean,89.1
297,Adyghe,Kurdish,81.7
298,Adyghe,Kurukh,96.2
299,Adyghe,Kyrgyz,77.0
300,Adyghe,Labrador_Inuttut,91.6
301,Adyghe,Ladin,95.7
302,Adyghe,Lahnda,90.8
303,Adyghe,Lak,92.6
304,Adyghe,Lao,88.3
305,Adyghe,Latvian,88.5
306,Adyghe,Letzebuergesch,90.6
307,Adyghe,Lezgian,87.9
308,Adyghe,Lithuanian,86.7
309,Adyghe,Macedonian,89.6
310,Adyghe,Magahi,90.8
311,Adyghe,Malagasy,100.0
312,Adyghe,Malayalam,90.0
313,Adyghe,Maltese,91.2
314,Adyghe,Mansi,90.8
315,Adyghe,Maori,95.4
316,Adyghe,Marathi,92.9
317,Adyghe,Mari,93.3
318,Adyghe,Marwari,90.8
319,Adyghe,Mon,87.9
320,Adyghe,Mongolian,89.4
321,Adyghe,Nayi,88.7
322,Adyghe,Nenets,94.4
323,Adyghe,Nepali,88.0
324,Adyghe,Norwegian(bokmal),90.6
325,Adyghe,Norwegian(nynorsk),90.6
326,Adyghe,Oriya,90.8
327,Adyghe,Oromo,91.0
328,Adyghe,Oroqen,100.0
329,Adyghe,Pashto,86.7
330,Adyghe,Pennsylvania_Dutch,92.5
331,Adyghe,Persian,86.2
332,Adyghe,Polish,89.6
333,Adyghe,Portuguese,95.7
334,Adyghe,Provencal,95.7
335,Adyghe,Punjabi,90.8
336,Adyghe,Romanian,91.0
337,Adyghe,Romansch,95.1
338,Adyghe,Russian,89.6
339,Adyghe,Sami,93.7
340,Adyghe,Samoan,95.4
341,Adyghe,Sardinian_L,95.7
342,Adyghe,Sardinian_N,93.6
343,Adyghe,Sariqoli,89.2
344,Adyghe,Schwyzerduetsch,92.5
345,Adyghe,Scots_(Scottish_English),91.3
346,Adyghe,Scottish_Gaelic,96.1
347,Adyghe,Serbian,92.4
348,Adyghe,Shan,91.8
349,Adyghe,Sheko,86.6
350,Adyghe,Sindhi,95.1
351,Adyghe,Sinhalese,95.0
352,Adyghe,Slovak,87.7
353,Adyghe,Slovene,88.1
354,Adyghe,Somali,84.7
355,Adyghe,Spanish,95.7
356,Adyghe,Sranan,87.7
357,Adyghe,Swahili,87.7
358,Adyghe,Swedish,95.1
359,Adyghe,Tagalog,92.0
360,Adyghe,Tahitian,97.2
361,Adyghe,Tajik,84.0
362,Adyghe,Tamasheq,91.4
363,Adyghe,Tamil,97.1
364,Adyghe,Tashelhit,91.8
365,Adyghe,Tatar,77.9
366,Adyghe,Tausug,83.1
367,Adyghe,Telugu,90.4
368,Adyghe,Thai,88.5
369,Adyghe,Tibetan,92.8
370,Adyghe,Tigrigna,93.1
371,Adyghe,Tmazight_(Riffian_Berber),93.5
372,Adyghe,Tsakonian,91.5
373,Adyghe,Turkish,86.6
374,Adyghe,Turkmen,83.4
375,Adyghe,Tuvan,81.9
376,Adyghe,Ukrainian,89.0
377,Adyghe,Urdu,88.0
378,Adyghe,Uyghur,77.8
379,Adyghe,Uzbek,82.6
380,Adyghe,Veps,93.0
381,Adyghe,Vietnamese,81.1
382,Adyghe,Vlach,88.9
383,Adyghe,Wakhi,90.3
384,Adyghe,Walloon,95.7
385,Adyghe,Warji,90.3
386,Adyghe,Waziri,88.7
387,Adyghe,Welsh,89.0
388,Adyghe,Wolof,96.2
389,Adyghe,Yakut,82.6
390,Adyghe,Yiddish,95.5
391,Adyghe,Yoruba,100.0
392,Adyghe,Yupik,91.5
393,Adyghe,Zazaki,89.3
394,Adyghe,Zulu,95.2
395,Afar,Afar,0.0
396,Afar,Afrikaans,88.6
397,Afar,Ainu,94.8
398,Afar,Albanian_(Gheg),89.5
